nummer	path	filter	prompt	titel	autor	projektuebersicht																				
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/133/02_Charaktere_Matzick_Isabel%20(1).jpg	Charaktere	an astronaut in a vibrant red suit stands in an abandoned room with a baroque interior. The plants and weeds that have taken over the abndoned room add a touch of wildness to the scene, a stark contrast to the orderly	Astronaut in verlassenem Schlafzimmer	Isabel Matzick  matzick																					
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/133/02_Charaktere_Matzick_Isabel%20(2).jpg	Charaktere	an astronaut in a vibrant red suit stands in an abandoned room with a baroque interior. The plants and weeds that have taken over the abndoned room add a touch of wildness to the scene, a stark contrast to the orderly	Astronaut in verlassenem Schlafzimmer	Isabel Matzick  matzick																					
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Giessmann_Alina/03_Adaption_Giessmann_Alina_Renaissance_Room.jpg	Adaption	white room, no windows, space, lighten up floor, renaissance room, spaceship, honeycomb structure, Biomimicry, warm light, sky, stars, Organic forms, Curved lines, organic architecture, Asymmetry, Natural forms, Whiplash curves, Aesthetic movement, organic rooms,  out of Space	Renaissance Raum	Alina Giessmann	giessmann																				
49	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/132/49_Szenen_Jakob_Vasilega_Sarah_Dariia_132.png	Szenen	dim, soviet union atmosphere, a retro photo of a kubrick  film scene with old person in bathrobe laying on a bed in a huge grey moscow metro grey  hall, monolith monoton floor, simple soviet hospital bed  white, minimalistic designed for Space Odyssey movie in Soviet brutalist style, huge hall,   soviet furniture,   1960s, USSR,  Minimalistic, Industrial, Utilitarian, modular, Monolithic, Stern, Foreboding, Dystopian, geometric, futuristic, Utilitarian, photorealistic, retro photo , Kubrick aesthetic, hyperrealism, modernism, Space odyssey, , monoton, ordinary	Mausoleum	Sarah Jakob Dariia Vasilega	jakob																				
01  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Wutschke_Julia/01_Szenen_Wutschke_Touch_132.jpg  	Szenen  	Furniture aboard a spaceship interior, transitioning into holograms with a complex composition featuring dynamic, interstellar-inspired aesthetics akin to "2001: A Space Odyssey", bathed in red glowing light presumably emanating from an omniscient AI presence, surfaces responding to touch as if part of a sci-fi touch screen, volumetric light, ultra realistic, digital painting. / Negative: ugly, deformed, noisy, blurry, distorted, out of focus, bad anatomy, extra limbs, poorly drawn face, poorly drawn hands, missing fingers  	space ship interior 01  	Julia Wutschke  	wutschke																				
07  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/132/01_Szenen_Schlotthauer_Jana_132_01.jpg  	Szenen  	dreamlike, distorted, deformed shapes, pixelated.  	Sinneserscheinung08  	Jana Schlotthauer  	schlotthauer																				
08  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/132/01_Szenen_Schlotthauer_Jana_132_02.jpg  	Szenen  	a bed inspired by the movie 2001: a space odyssey. eerie, distorted, deformed, weird, strange, ugly.  	Sinneserscheinung09  	Jana Schlotthauer  	schlotthauer																				
22	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Nasr_Zina/01_Szene_Nasr_Zina_132_01.png	Szene	Transform the iconic scenes of "2001: A Space Odyssey" into the whimsical, tactile universe of Aardman Studio's claymation style. Use PlayDoh for nature, trees, landscapes. Embrace bright, dynamic colors for a playful atmosphere. Create a visual and tactile experience that transports the audience to a world of boundless imagination. For characters, maintain a minimalistic look, keeping facial features simple and expressive.	Schlafzimmer 01	Zina Nasr	nasr																				
23	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Nasr_Zina/01_Szene_Nasr_Zina_132_02.png	Szene	Transform the iconic scenes of "2001: A Space Odyssey" into the whimsical, tactile universe of Aardman Studio's claymation style. Use PlayDoh for walls, floors, and furniture, layers of play doh on top of each other, bedroom, bed, chairs, spaceship, play doh texture, minimalistic	Schlafzimmer 02	Zina Nasr	nasr																				
24	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Nasr_Zina/01_Szene_Nasr_Zina_132_03.png	Szene	Transform the iconic scenes of "2001: A Space Odyssey" into the whimsical, tactile universe of Aardman Studio's claymation style. Use PlayDoh for walls, floors, and furniture, layers of play doh on top of each other, bedroom, bed, chairs, spaceship, play doh texture, minimalistic	Schlafzimmer 03	Zina Nasr	nasr																				
