name	path	filter	prompt	titel	autor	projektuebersicht
34	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/086/34_Szenen_Jakob_Vasilega_Sarah_Dariia_086.png	Szenen	soviet union atmosphere, a film scene for  Kubrick space odyssey,   where two soviet cosmonauts are talking secretly about turning  evil retro supercomputer down, a set design for  Kubrick´s Space Odyssey 2001 movie but designed in Soviet constructivism  style, 1960s, USSR, propaganda, Minimalistic, Industrial, modular, Utilitarian, modular, Monolithic, Stern, Foreboding, Dystopian, futuristic, Utilitarian, photorealistic, hyperrealism, modernism, Space odyssey, spaceship,, supercomputer, red lights, retro photo, no gravity, retro-futurism, communism, ped star emblem	Meeting	Sarah jacob Dariia Vasilega	jakobvasilega
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ludwig_Sarah/01_Szenen_Ludwig_Sarah_086.jpg	Szenen	two astronauts facing each other and sitting in a spaceship capsule transformed into a bionic biomorphic abstract organic design by Ross Lovegrove with intricate details, view on the scene through a round window of the capsule, mysterious, gloomy, edgy, sculptural, cinematic, photorealistic	Spaceship Room	Sarah Ludwig	ludwig
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Freynhagen_Hannah/00_Objekt_Freynhagen_Hannah_086.png	Objekt	little information roboter in black and red with wheels in a modern museum people are interacting with it	Hel	Hannah Freynhagen	freynhagen						
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/086/01_Szene_Zirk_Luisa_086_13.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame cockpit	Arcade13	Luisa Zirk	zirk						
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Kunert_Frieda/03_Adaption_Kunert_Frieda_086.jpg	Adaption	Two people having a secret conversation. They have a scared and worried expression, eyes white open, sweating. They lean in close to each other, ducked. hushed tones, lowered voices, and occasional glances around to ensure privacy. fleeting eye contact and subtle nods indicating agreement or acknowledgment. hovering red glowing orbs are watching them through a window in the background tinting its surroundings red. Red light. cables. Technology, industrial, realism	Secret Conversation	Frieda Kunert	kunert						
26	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/086/26_Szenen_Nguyen_086.png	Szenen	analog style, fish-eyed perspective, two astronauts talking to each other, warm purple hue	Stop-Motion lila Textilien	Tuan Nguyen	nguyen						
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Grineva_Jana/03_Adaptionen_Grineva_Jana_086.jpg	Adaptionen	Imagine a world submerged in water. The image portrays a mesmerizing underwater landscape with peculiar creatures, vibrant plants, and mysterious artifacts. Control Panel HAL 9000 film "2001: Space Odyssey".	HAL 9000	Jana Grineva	grineva						
08	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Paulsen_Nannie/01_Adaption_Paulsen_Blume.jpg	Adaption	pollen are glowing between the 2 men, flowers are growing on them, they are using flowers to communicate. The composition stays the same	deep communication 01	Nannie Paulsen	paulsen						
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Paulsen_Nannie/03_Adaption_Paulsen_Blume.jpg	Adaption	pollen are glowing between the 2 men, flowers are growing on them, they are using flowers to communicate. The composition stays the same	deep communication 02	Nannie Paulsen	paulsen						
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Paulsen_Nannie/12_Adaption_Paulsen_Blume.jpg	Adaption	pollen are glowing between the 2 men, flowers are growing on them, they are using flowers to communicate. The composition stays the same	deep communication 03	Nannie Paulsen	paulsen						
11	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Paulsen_Nannie/16_Adaption_Paulsen_Blume.jpg	Adaption	pollen are glowing between the 2 men, flowers are growing on them, they are using flowers to communicate. The composition stays the same	deep communication 04	Nannie Paulsen	paulsen						
12	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Paulsen_Nannie/20_Adaption_Paulsen_Blume.jpg	Adaption	pollen are glowing between the 2 men, flowers are growing on them, they are using flowers to communicate. The composition stays the same	deep communication 05	Nannie Paulsen	paulsen						
13	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Paulsen_Nannie/22_Adaption_Paulsen_Blume.jpg	Adaption	pollen are glowing between the 2 men, flowers are growing on them, they are using flowers to communicate. The composition stays the same	deep communication 06	Nannie Paulsen	paulsen						
14	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Paulsen_Nannie/24_Adaption_Paulsen_Blume.jpg	Adaption	pollen are glowing between the 2 men, flowers are growing on them, they are using flowers to communicate. The composition stays the same	deep communication 07	Nannie Paulsen	paulsen						
15	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Paulsen_Nannie/29_Adaption_Paulsen_Blume.jpg	Adaption	pollen are glowing between the 2 men, flowers are growing on them, they are using flowers to communicate. The composition stays the same	deep communication 08	Nannie Paulsen	paulsen						
