name	path	filter	prompt	titel	autor	projektuebersicht
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/00_Gisevius_Sara_Monolith_1.jpg	Objekte	Create a rectangular halfway see-through air inflated monolith out of halfway seethrough plasticfoil on a lost planet	Der Monolith 1	Sara Gisevius	gisevius
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/00_Gisevius_Sara_Monolith_2.jpg	Objekte	Create a rectangular halfway see-through air inflated monolith out of halfway see-through plasticfoil on a lost planet	Der Monolith 2	Sara Gisevius	gisevius
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/030/00_Gisevius_Sara_Chair.jpg	Objekte	Create a round red loungechair made out of see-through inflated latex inside a spaceship	Roter Stuhl 1	Sara Gisevius	gisevius
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/030/00_Gisevius_Sara_Red_Chair_2.jpg	Objekte	create a loungechair made out of red see-through latex and a dome of seethrough plastic foil all around it	Roter Stuhl 2	Sara Gisevius	gisevius
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/132/00_Gisevius_Sara_Chair_3.jpg	Objekte	Show an old chair completely covered in foil	Alter Stuhl	Sara Gisevius	gisevius
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/035/02_Gisevius_Sara_Stuardess_1.jpg	Charaktere	You are a Concept Artist, who designs a new Setdesign for an adaption of the film "A Space Odyssey". Create a modern Uniform for a female stewardess made out of transparent materials like Polyvinyl chloride, Vinyl, glas, lycra and latex like a Raincoat. The large Headpiece is completely made out of glas. Add many small shiny screens which give information about the stewardess health. Everything is smooth and shiny. Show the whole suit from head to toe	Stewardess 1	Sara Gisevius	gisevius
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/035/02_Gisevius_Sara_Stuardess_2.jpg	Charaktere	You are a Concept Artist, who designs a new Setdesign for an adaption of the film "A Space Odyssey". Create a modern Uniform for a female stewardess made out of transparent materials like Polyvinyl chloride, Vinyl, glas, lycra and latex like a Raincoat. The large Headpiece is completely made out of glas. Add many small shiny screens which give information about the stewardess health. Everything is smooth and shiny. Show the whole suit from head to toe	Stewardess 2	Sara Gisevius	gisevius
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/035/02_Gisevius_Sara_Stuardess_3.jpg	Charaktere	You are a Concept Artist, who designs a new Setdesign for an adaption of the film "A Space Odyssey". Create a modern Uniform for a female stewardess made out of transparent materials like Polyvinyl chloride, Vinyl, glas, lycra and latex like a Raincoat. The Headpiece is completely made out of noncoloured and nonreflective glas. Add many small shiny screens which give information about the astronauts health. Everything is smooth and shiny. Show the whole suit from head to toe	Stewardess 3	Sara Gisevius	gisevius
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/026/02_Gisevius_Sara_Stuardess_4.jpg	Charaktere	You are a Concept Artist, who designs a new Setdesign for an adaption of the film "A Space Odyssey". Create a modern Uniform for a female stewardess made out of transparent materials like Polyvinyl chloride, Vinyl, glas, lycra and latex like a Raincoat. The Headpiece is completely made out of noncoloured and nonreflective glas. Add many small shiny screens which give information about the astronauts health. Everything is smooth and shiny. Show the whole suit from head to toe	Stewardess 4	Sara Gisevius	gisevius
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/026/02_Gisevius_Sara_Stuardess_5.jpg	Charaktere	You are a Concept Artist, who designs a new Setdesign for an adaption of the film "A Space Odyssey". Create a modern Uniform for a female stewardess made out of transparent materials like Polyvinyl chloride, Vinyl, glas, lycra and latex like a Raincoat. The Headpiece is completely made out of noncoloured and nonreflective glas. Add many small shiny screens which give information about the astronauts health. Everything is smooth and shiny. Show the whole suit from head to toe	Stewardess 5	Sara Gisevius	gisevius
