name	path	filter	prompt	titel	autor	projektuebersicht
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ludwig_Sarah/01_Szenen_Ludwig_Sarah_006.jpg	Szenen	a wide vast desert landscape with cliffs with biomimetic biomorphic bionic shapes emerging from the rough ground, intricate details, luminous, ethereal, edgy, sculptural, cinematic, photorealistic	Biomorphic Landscape (1)	Sarah Ludwig	ludwig
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ludwig_Sarah/01_Szenen_Ludwig_Sarah_008.jpg	Szenen	close up shot of a herd of apes sitting in a wide vast desert landscape with cliffs with biomimetic biomorphic bionic shapes emerging from the rough ground, intricate details, luminous, ethereal, edgy, sculptural, cinematic, photorealistic	Herd of Apes	Sarah Ludwig	ludwig
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ludwig_Sarah/01_Szenen_Ludwig_Sarah_009.jpg	Szenen	a wide vast desert landscape with cliffs with biomimetic biomorphic bionic shapes emerging from the rough ground, intricate details, luminous, ethereal, edgy, sculptural, cinematic, photorealistic	Biomorphic Landscape (2)	Sarah Ludwig	ludwig
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ludwig_Sarah/01_Szenen_Ludwig_Sarah_010.jpg	Szenen	a wide vast desert landscape with cliffs with biomimetic biomorphic bionic shapes emerging from the rough ground, intricate details, luminous, ethereal, edgy, sculptural, cinematic, photorealistic	Biomorphic Landscape (3)	Sarah Ludwig	ludwig
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ludwig_Sarah/01_Szenen_Ludwig_Sarah_012.jpg	Szenen	a wide vast desert landscape with cliffs with biomimetic biomorphic bionic shapes emerging from the rough ground, intricate details, luminous, ethereal, edgy, sculptural, cinematic, photorealistic	Monolith	Sarah Ludwig	ludwig
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ludwig_Sarah/01_Szenen_Ludwig_Sarah_014.jpg	Szenen	a wide vast desert landscape with cliffs with biomimetic biomorphic bionic shapes emerging from the rough ground, intricate details, luminous, ethereal, edgy, sculptural, cinematic, photorealistic	Biomorphic Landscape (4)	Sarah Ludwig	ludwig
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ludwig_Sarah/01_Szenen_Ludwig_Sarah_019.jpg	Szenen	a wide vast desert landscape with cliffs with biomimetic biomorphic bionic shapes emerging from the rough ground, intricate details, luminous, ethereal, edgy, sculptural, cinematic, photorealistic	Bone	Sarah Ludwig	ludwig
08	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ludwig_Sarah/00_Objekt_Ludwig_Sarah_020.jpg	Objekte	a modern futuristic spacecraft designed by Ross Lovegrove with intricate organic bionic biomorphic features structures and details floating in dark space, otherworldly looking, ethereal, Dynamic Composition, gloomy atmosphere, cinematic, typical science fiction color palette, wide angle shot	Spaceshuttle	Sarah Ludwig	ludwig
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ludwig_Sarah/00_Objekt_Ludwig_Sarah_022.jpg	Objekte	abstract sculptural fluid bionic biomimetic space suit shoes with fine intricate details placed in a minimalistic Bauhaus room designed by Marcel Breuer, luminous, ethereal, edgy, mysterious, misty, foggy, gloomy, cinematic, photorealistic, experimental film, wide angle shot	Grip Shoes	Sarah Ludwig	ludwig
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ludwig_Sarah/01_Szenen_Ludwig_Sarah_022.jpg	Szenen	a wide corridor inside a minimalistic Bauhaus Style plane with seats to each side, a women standing in the middle wearing a fluid organic bionic suit and hat with biomorphic abstract otherworldly structure and intricate details designed by Ross Lovegrove, the women is looking directly into the camera, dynamic composition, gloomy atmosphere, foggy, misty, experimental cinematography, photorealistic, wide angle central shot, luminous, ethereal, edgy, sculptural, cinematic	Spaceship Corridor	Sarah Ludwig	ludwig
