name	path	filter	prompt	titel	autor	projektuebersicht
004	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ries_Johanna/03_Adaption_Ries_Johanna_004.jpg	Adaptionen	A lettering with the word 2001; It should look like it was 3D printed;	SpacePrint	Johanna Ries	ries
007	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ries_Johanna/03_Adaption_Ries_Johanna_007.jpg	Adaptionen	Landscape with migrating herds of animals; It should look like it was printed from a 3D printer;	SpacePrint	Johanna Ries	ries
013	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ries_Johanna/03_Adaption_Ries_Johanna_013.jpg	Adaptionen	Simple rectangular stone monolith in a desolate landscape; Smooth surface of the mountains; It should look like it was printed from a 3D printer;	SpacePrint	Johanna Ries	ries
017	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ries_Johanna/03_Adaption_Ries_Johanna_017.jpg	Adaptionen	Sunset over a valley with mountains in afrika; Few details; 3D printed;	SpacePrint	Johanna Ries	ries
018	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ries_Johanna/03_Adaption_Ries_Johanna_018.jpg	Adaptionen	A campfire site where great apes gather around the fire at night; 3D printed;	SpacePrint	Johanna Ries	ries
021	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ries_Johanna/03_Adaption_Ries_Johanna_021.jpg	Adaptionen	A spaceship that looks like it's two wheels connected in the middle; In the background the planet Earth; It should look like it was printed with a 3D printer;	SpacePrint	Johanna Ries	ries
028	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ries_Johanna/03_Adaption_Ries_Johanna_028.jpg	Adaptionen	A machine that has an integrated monitor and keyboard; futuristic; it should look like it was printed with a 3D printer;	SpacePrint	Johanna Ries	ries
034	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ries_Johanna/03_Adaption_Ries_Johanna_034.jpg	Adaptionen	A crescent moon in space; It should look like it was printed with a 3D printer;	SpacePrint	Johanna Ries	ries
038	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ries_Johanna/03_Adaption_Ries_Johanna_038.jpg	Adaptionen	A round spaceship with four fold-out legs; It should look like it was printed with a 3D printer;	SpacePrint	Johanna Ries	ries
044	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ries_Johanna/03_Adaption_Ries_Johanna_044.jpg	Adaptionen	Create an image of the interior of a spaceship; The scene should exude peace and calm; It should look like it was printed with a 3D printer;	SpacePrint	Johanna Ries	ries
