nummer	path	filter	prompt	titel	autor	projektuebersicht
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_006_01.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ bei den Stonehenge in England. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000	AI Odyssey:A Global Journey	Alina Müller	mueller						
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_006_02.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ bei den Stonehenge in England. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000	AI Odyssey:A Global Journey	Alina Müller	mueller						
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_006_03.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ bei den Stonehenge in England. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000	AI Odyssey:A Global Journey	Alina Müller	mueller						
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_006_04.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ bei den Stonehenge in England. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000	AI Odyssey:A Global Journey	Alina Müller	mueller						
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_006_05.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ bei den Stonehenge in England. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000	AI Odyssey:A Global Journey	Alina Müller	mueller						
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_006_06.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ bei den Stonehenge in England. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000	AI Odyssey:A Global Journey	Alina Müller	mueller						
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_006_07.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ bei den Stonehenge in England. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000	AI Odyssey:A Global Journey	Alina Müller	mueller						
08	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_006_08.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ bei den Stonehenge in England. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000	AI Odyssey:A Global Journey	Alina Müller	mueller						
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_006_09.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ bei den Stonehenge in England. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000	AI Odyssey:A Global Journey	Alina Müller	mueller						
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_006_10.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ bei den Stonehenge in England. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000	AI Odyssey:A Global Journey	Alina Müller	mueller
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_020_01.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Uluru in Australien. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000. Analog. Space.	AI Odyssey:A Global Journey	Alina Müller	mueller						
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_020_02.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Uluru in Australien. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000. Analog. Space.	AI Odyssey:A Global Journey	Alina Müller	mueller						
