name	path	filter	prompt	titel	autor	projektuebersicht
01  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Hoelzer_Celina/01_Szenen_Hoelzer_Gang.jpg	Szenen  spaceship interieur from the 60s, giant, 60s, brown and red colors, earthy tones, looks like photograph, natural light from the left side, simple, vintage, old, outside in space, galaxy, red seats, retro futurism	Gang	Celina Hoelzer	hoelzer
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Hoelzer_Celina/00_Objekte_Hoelzer_FernseherMitRaumschiff.jpg	Objekte	spaceship from the 60s, 60s, earthy tones, looks like photograph, natural light from the left side, simple, vintage, old, outside in space, galaxy, retro futurism, hints of beech and oak wood, space ship, rocket, 60s wooden tube TV in the space ship, wooden tube TV	FernseherMitRaumschiff	Celina Hoelzer	hoelzer
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Hoelzer_Celina/01_Szenen_Hoelzer_Cockpit1.jpg	Szenen	spaceship from the 60s, giant, 60s, brown colors, earthy tones, looks like photograph, natural light from the left side, simple, vintage, old, outside in space, galaxy	Cockpit1	Celina Hoelzer	hoelzer
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Hoelzer_Celina/01_Szenen_Hoelzer_Cockpit2.jpg	Szenen	spaceship from the 60s, 60s, earthy tones, looks like photograph, natural light from the left side, simple, vintage, old, outside in space, galaxy, retro futurism, hints of beech and oak wood, space ship, rocket, 60s typewriter and wooden tube TV, zoom in on typewriter and wooden tube TV, typewriter and wooden tube TV in a space ship, 60s	Cockpit2	Celina Hoelzer	hoelzer
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Hoelzer_Celina/00_Objekte_Hoelzer_Videoübertragungsgerät.jpg	Objekte	spaceship from the 60s, 60s, earthy tones, looks like photograph, natural light from the left side, simple, vintage, old, outside in space, galaxy, retro futurism, hints of beech and oak wood, space ship, rocket, 60s typewriter and wooden tube TV, zoom in on typewriter and wooden tube TV, typewriter and wooden tube TV in a space ship, 60s	Videoübertragungsgerät	Celina Hoelzer	hoelzer
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Hoelzer_Celina/00_Objekte_Hoelzer_Schlafkapsel.jpg	Objekte	spaceship from the 60s, 60s, earthy tones, looks like photograph, natural light from the left side, simple, vintage, old, outside in space, galaxy, retro futurism, hints of beech and oak wood, space ship, rocket, 60s Hibernation pod in a space ship, capsule 	Schlafkapsel	Celina Hoelzer	hoelzer
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Hoelzer_Celina/00_Objekt_Hoelzer_Zeitkapsel1.jpg	Objekte	spaceship from the 60s, 60s, earthy tones, looks like photograph, natural light from the left side, simple, vintage, old, outside in space, gal	Zeitkapsel1	Celina Hoelzer	hoelzer
08	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Hoelzer_Celina/00_Objekte_Hoelzer_Zeitkapsel2.jpg	Objekte	spaceship from the 60s, 60s, earthy tones, looks like photograph, natural light from the left side, simple, vintage, old, outside in space, galaxy, retro futurism, hints of beech and oak wood, space ship, rocket, 60s Hibernation pod in a space ship, capsule 	Zeitkapsel2	Celina Hoelzer	hoelzer
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Hoelzer_Celina/00_Objekte_Hoelzer_Raumoutfit.jpg	Objekte	spaceship cockpit from the 60s, giant, 60s, earthy tones, looks like photograph, natural light from the left side, simple, vintage, old, outside in space, galaxy, retro futurism, hints of beech and oak wood, space ship, rocket, white long 60s overall on a male dressmaker's mannequin in the space ship, zoom in on the male dressmaker's mannequin without a head	Raumoutfit	Celina Hoelzer	hoelzer
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Hoelzer_Celina/00_Objekte_Hoelzer_C-Pod.jpg	Objekte	spaceship cockpit from the 60s, giant, 60s, earthy tones, looks like photograph, natural light from the left side, simple, vintage, old, outside in space, galaxy, retro futurism, hints of beech and oak wood, space ship, rocket, white 60s shoes in the space ship, zoom in on the white shoes	C-Pod	Celina Hoelzer	hoelzer
11	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Hoelzer_Celina/00_Objekte_Hoelzer_Lavalampe1.jpg	Objekte	70s, lava lamp, colorfull, bright colors, zoom in on lava lamp, dark background	Lavalampe1	Celina Hoelzer	hoelzer
12	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Hoelzer_Celina/00_Objekte_Hoelzer_Lavalampe2.jpg	Objekte	lava lamp, zoom in on lava lamp, colorfull	Lavalampe2	Celina Hoelzer	hoelzer
13	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Hoelzer_Celina/00_Objekte_Hoelzer_WeltraumFahrzeug1.jpg	Objekte	spaceship from the 60s, 60s, earthy tones, looks like photograph, natural light from the left side, simple, vintage, old, outside in space, galaxy, retro futurism, hints of beech and oak wood, space ship, rocket, 60s AI robot, AI as an robot in the style of the 60s	WeltraumFahrzeug1	Celina Hoelzer	hoelzer
14	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Hoelzer_Celina/00_Objekte_Hoelzer_WeltraumFahrzeug2.jpg	Objekte	spaceship from the 60s, 60s, earthy tones, looks like photograph, natural light from the left side, simple, vintage, old, outside in space, galaxy, retro futurism, hints of beech and oak wood, space ship, rocket, 60s AI robot, AI as an robot in the style of the 60s	WeltraumFahrzeug2	Celina Hoelzer	hoelzer
15	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Hoelzer_Celina/00_Objekte_Hoelzer_HAL1.jpg	Objekte	spaceship from the 60s, 60s, earthy tones, looks like photograph, natural light from the left side, simple, vintage, old, outside in space, galaxy, retro futurism, hints of beech and oak wood, space ship, rocket, 60s, bright red glowing dot, focus on the red glowing dot	HAL1	Celina Hoelzer	hoelzer
16	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Hoelzer_Celina/00_Objekte_Hoelzer_HAL2.jpg	Objekte	spaceship from the 60s, 60s, earthy tones, looks like photograph, natural light from the left side, simple, vintage, old, outside in space, galaxy, retro futurism, hints of beech and oak wood, space ship, rocket, 60s AI robot, AI as an robot in the style of the 60s	HAL2	Celina Hoelzer	hoelzer
17	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Hoelzer_Celina/00_Objekte_Hoelzer_HAL3.jpg	Objekte	spaceship from the 60s, 60s, earthy tones, looks like photograph, natural light from the left side, simple, vintage, old, outside in space, galaxy, retro futurism, hints of beech and oak wood, space ship, rocket, 60s, bright red glowing dot, focus on the red glowing dot	HAL3	Celina Hoelzer	hoelzer
18	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Hoelzer_Celina/00_Objekte_Hoelzer_Stuhl.jpg	Objekte	put the red chair in a retro space ship, give it a 60s aesthetic, use earthy tones, use beech and oak wood for details in the space ship	Stuhl 	Celina Hoelzer	hoelzer
19	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Hoelzer_Celina/00_Objekte_Hoelzer_Monolith.jpg	Objekte	Generate a scene featuring a colossal rectangular structure, its surface reminiscent of the monolithic aesthetic found in the Dolomite scenes from '2001: A Space Odyssey.' The massive form, crafted from a rich wooden material, should exhibit a subtle flatness. Adorn this imposing structure with a striking 70s-inspired pattern, utilizing warm and inviting colors such as orange, green, and yellow. Set this wooden monolith against the backdrop of a lush green field, creating a visually arresting composition that seamlessly combines the surreal essence of sci-fi with the nostalgic charm of 70s design.	Monolith	Celina Hoelzer	hoelzer
20	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Hoelzer_Celina/01_Szenen_Hoelzer_Kontrollzentrum2.jpg	Szenen	a lot of wooden tube TVs from the 60s, 60s, brown colors, earthy tones, looks like photograph, natural light from the left side, simple, vintage, old, use beech wood and oak wood in the background, asymmetrical, 60s era, focus on the wooden Tube TV's	Kontrollzentrum2	Celina Hoelzer	hoelzer
21	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Hoelzer_Celina/00_Objekte_Hoelzer_SpaceStation.jpg	Objekte	spaceship from the 60s, 60s, earthy tones, looks like photograph, natural light from the left side, simple, vintage, old, outside in space, galaxy, retro futurism, hints of beech and oak wood, space ship, rocket, 60s AI robot, AI as an robot in the style of the 60s	SpaceStation	SpaceStation	Celina Hoelzer	hoelzer
