name	path	filter	prompt	titel	autor	projektuebersicht
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/123/01_Szenen_Schlotthauer_Jana_Wahrnehmung_123_01.jpeg	Szenen	2001: a space odyssey, neon ambiance, abstract black oil, gear mecha, detailed acrylic, grunge, intricate complexity, rendered in unreal engine, photorealistic	Wahrnehmung	Schlotthauer, Jana	schlotthauer
03  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/123/03_Adaptionen_Guth_Antonia_123.jpg  	Adaptionen  	Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, abstract forms  	Stop Motion  	Antonia Guth  	guth						
04  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Langhanki_Jan/01_Szenen_Langhanki_Jan_123.png  	Szenen  	an old film scene of colorless psychadelic shapes in space, film noir style, steampunk, pulp story, black and white  	Psychadelic Noir  	Jan Langhanki  	langhanki						
05  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ries_Johanna/03_Adaption_Ries_Johanna_123.jpg  	Adaptionen  	Psychedelic journey through abstract and changing dimensions; distorted shapes, bright colors, and blurry transitions may appear; it should look like it was printed with a 3D printer;  	SpacePrint  	Johanna Ries  	ries						
06  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Debrah_Eunice/_Debrah%20Eunice%20Abgabe%206.jpg  	Ort/Szene  	In wakanda royal hall with brown and green walls and plants. africian wakanda window tracerv. and integrated technology, ared-eye Al tathe center oversees all. The room's curvature and roundfurniture enhanceits futuristic feel. A cool light enters through a skylight, revealing a dystopian, lifeless, desert-like planet ni the dark expanse of outer space, evokingStanley Kubrick's style. Realistic with plants and african stil in space, high technology, with african typography on the wall with black panther and a king, in space  A Space Odyssey im Wakanda 	Stil/Restaurant  	Eunice Debrah  	debrah						
01  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_123_01.jpg 	Szenen 	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Cloud Gate in Chicago. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000.  	AI Odyssey:A Global Journey  	Alina Müller  	mueller						
02  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_123_02.jpg 	Szenen 	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Cloud Gate in Chicago. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000.  	AI Odyssey:A Global Journey  	Alina Müller  	mueller						
03  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_123_03.jpg 	Szenen 	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Cloud Gate in Chicago. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000.  	AI Odyssey:A Global Journey  	Alina Müller  	mueller						
04  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_123_04.jpg 	Szenen 	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Cloud Gate in Chicago. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000.  	AI Odyssey:A Global Journey  	Alina Müller  	mueller						
05  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_123_05.jpg 	Szenen 	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Cloud Gate in Chicago. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000.  	AI Odyssey:A Global Journey  	Alina Müller  	mueller						
06  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_123_06.jpg 	Szenen 	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Cloud Gate in Chicago. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000.  	AI Odyssey:A Global Journey  	Alina Müller  	mueller						
07  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_123_07.jpg 	Szenen 	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Cloud Gate in Chicago. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000.  	AI Odyssey:A Global Journey  	Alina Müller  	mueller						
