nummer	path	filter	prompt	titel	autor	projektuebersicht
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/007/01_Szenen_Nguyen_007.png	Szenen	yellow hues, animals in Stone age, rocky, sunset, analog style photography, rugged terrain, centered composition, natural landscape filled with prehistoric character	Stop-Motion gelbe Textilien	Tuan Nguyen	nguyen
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/008/02_Szenen_Nguyen_008.png	Szenen	yellow hues, apes in Stone age, rocky, sunset, analog style photography, rugged terrain, centered composition, natural landscape filled with prehistoric character	Stop-Motion gelbe Textilien	Tuan Nguyen	nguyen
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/008/03_Szenen_Nguyen_008.png	Szenen	apes in foreground, in Stone age, rocky, analog style photography, yellow hues dominating, bright natural light casting shadows, rugged terrain, centered composition, natural landscape filled with prehistoric character, cinematic quality	Stop-Motion gelbe Textilien	Tuan Nguyen	nguyen
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/009/04_Szenen_Nguyen_009.png	Szenen	apes in foreground, in Stone age, rocky, analog style photography, yellow hues dominating, bright natural light casting shadows, rugged terrain, centered composition, natural landscape filled with prehistoric character, cinematic quality	Stop-Motion gelbe Textilien	Tuan Nguyen	nguyen
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/009/05_Szenen_Nguyen_009.png	Szenen	yellow hues, apes in Stone age, rocky, sunset, analog style photography, rugged terrain, centered composition, natural landscape filled with prehistoric character	Stop-Motion gelbe Textilien	Tuan Nguyen	nguyen
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/06_Objekte_Nguyen_13.png	Objekte	tall thin rectangular monolith from space odyssey in the middle, Stone age rocky desert under a sunrise, analog style photography, orange hues, rugged terrain, centered composition, natural landscape filled with prehistoric character	Stop-Motion orange Textelien	Tuan Nguyen	nguyen		
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/015/07_Szenen_Nguyen_015.png	Szenen	orange hues,	animal in stone ages, sun set, analog style photography, rugged terrain, centered composition, natural landscape filled with prehistoric character	Stop-Motion orange Textilien	Tuan Nguyen	nguyen
08	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/018/08_Charaktere_Nguyen_018.png	Charaktere	orange apes dancing, orange hues dominating, analog style photography, rugged terrain, centered composition, natural landscape filled with prehistoric character, cinematic quality	Stop-Motion orange Textilien	Tuan Nguyen	nguyen
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/020/09_Szenen_Nguyen_020.png	Szenen	red hue, outer space, bone shaped spaceship flying through space, captured in analog style, minimalism, cinematic composition	Stop-Motion rote Textilien	Tuan Nguyen	nguyen	
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/023/10_Objekte_Nguyen_023.png	Objekte	warm red hue, outer space, bone shaped spaceship flying through space, captured in analog style, minimalism, cinematic composition	Stop-Motion rote Textilien	Tuan Nguyen	nguyen
11	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/025/11_Szenen_Nguyen_025.png	Szenen	warm red hue, spaceship cockpit, centered composition, minimal , astronauts siting in the chairs, view in space	Stop-Motion rote Textilien	Tuan Nguyen	nguyen
12	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/026/12_Szenen_Nguyen_026.png	Szenen	analog style, reception on the spaceship, woman at reception, red hue, centered composition, cinematic, wes anderson's style, natural lighting	Stop-Motion rote Textilien	Tuan Nguyen	nguyen
13	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/13_Objekte_Nguyen_027.png	Objekte	woolitize, Red Djinn Chair from Olivier Mourgue, Space Odyssey	Stop-Motion rote Textilien	Tuan Nguyen	nguyen
14	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/029/14_Szenen_Nguyen_029.png	Szenen	analog style, businesman video chatting with a young girl through a television, red hue, centered composition, cinematic, wes anderson's style, natural lighting	Stop-Motion	rote Textilien	Tuan Nguyen	nguyen
15	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/051/15_Szenen_Nguyen_051.png	Szenen	warm pink hue, astronauts on rocky terrain	Stop-Motion pink Textilien	Tuan Nguyen	nguyen		
16	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/052/16_Charaktere_Nguyen_052.png	Charaktere	woolitize, Space Odyssey, Wes Anderson, centered composition	Stop-Motion pink Textilien	Tuan Nguyen	nguyen
