name	path	filter	prompt	titel	autor	projektuebersicht	
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/006/03_Szenen_Jakob_Vasilega_Sarah_Dariia_006.png	Szenen	make more russian, tundra, atmosphere of the movie solaris by Andrei Tarkowski	Meer	Sarah Jakob Dariia Vasilega	jakob vasilega		
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ludwig_Sarah/01_Szenen_Ludwig_Sarah_006.jpg	Szenen	a wide vast desert landscape with cliffs with biomimetic biomorphic bionic shapes emerging from the rough ground, intricate details, luminous, ethereal, edgy, sculptural, cinematic, photorealistic	Biomorphic Landscape (1)	Sarah Ludwig	ludwig	
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Nasr_Zina/01_Szene_Nasr_Zina_006.png	Szene	Transform the iconic scenes of "2001: A Space Odyssey" into the whimsical, tactile universe of Aardman Studio's claymation style. Use PlayDoh for nature, trees, landscapes. Embrace bright, dynamic colors for a playful atmosphere. Create a visual and tactile experience that transports the audience to a world of boundless imagination. For characters, maintain a minimalistic look, keeping facial features simple and expressive.	Landschaft 03	Zina Nasr	nasr	
08	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/006/03_Adaptionen_Guth_Antonia_006.jpg	Adaptionen	Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, dead zebra and a leopard	Stop Motion	Antonia Guth	guth	
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Freynhagen_Hannah/01_Szenen_Freynhagen_Hannah_006.jpg	Szenen	a child watching an information video in a modern museum	Screen-Landschaft	Hannah Freynhagen	freynhagen	
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Lai_Sarah_Nathalie/03_Adaption_Lai_Sarah_01.png	Adaption	The fusion of a red eyred ai with the big  black rectangular Monolith releases dark energies into space. chaotic swirls, surreally distorted realities, dark aura	Titel	Sarah Lai	lai	
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Lai_Sarah_Nathalie/03_Adaption_Lai_Sarah_02.png	Adaption	The fusion of a red eyred ai with the big  black rectangular Monolith releases dark energies into space. chaotic swirls, surreally distorted realities, dark aura	Titel	Sarah Lai	lai	
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Lai_Sarah_Nathalie/03_Adaption_Lai_Sarah_03.png	Adaption	The fusion of a red eyred ai with the big  black rectangular Monolith releases dark energies into space. chaotic swirls, surreally distorted realities, dark aura	Titel	Sarah Lai	lai	
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Debrah_Eunice/_Debrah%20Eunice%20Abgabe%2035.jpg	Objekte	In wakanda kingdom with brown and green walls and plants. africian wakanda window tracerv. and integrated technology, ared-eye Al tathe center oversees all. The room's curvature and roundfurniture enhanceits futuristic feel. A cool light enters through a skylight, revealing a dystopian, lifeless, desert-like planet ni the dark expanse of outer space, evokingStanley Kubrick's style. Realistic with plants and african stil in space, high technology  A Space Odyssey im Wakanda	Eunice Debrah	Debrah		
12	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Blumstein_Alina/01_Szenen_Blumstein_Alina_006.jpg	Szenen	everything melts heavily, abstract, art	Abstract Landscape	Alina Blumstein	blumstein	
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_006_01.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Uluru in Australien. Integriere das futuristische Universum. Raumschiff. Noir.	AI Odyssey:A Global Journey	Alina Müller	mueller	
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_006_02.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Uluru in Australien. Integriere das futuristische Universum. Raumschiff. Noir.	AI Odyssey:A Global Journey	Alina Müller	mueller	
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_006_03.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Uluru in Australien. Integriere das futuristische Universum. Raumschiff. Noir.  AI Odyssey:A Global Journey  Alina Müller  mueller				
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_006_04.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Uluru in Australien. Integriere das futuristische Universum. Raumschiff. Noir.  AI Odyssey:A Global Journey	Alina Müller	mueller		
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_006_05.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Uluru in Australien. Integriere das futuristische Universum. Raumschiff. Noir.  AI Odyssey:A Global Journey  Alina Müller  mueller				
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_006_06.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Uluru in Australien. Integriere das futuristische Universum. Raumschiff. Noir.	AI Odyssey:A Global Journey	Alina Müller	mueller	
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_006_07.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Uluru in Australien. Integriere das futuristische Universum. Raumschiff. Noir.	AI Odyssey:A Global Journey	Alina Müller	mueller	
08	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_006_08.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Uluru in Australien. Integriere das futuristische Universum. Raumschiff. Noir.	AI Odyssey:A Global Jouney	Alina Müller	mueller	
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_006_09.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Uluru in Australien. Integriere das futuristische Universum. Raumschiff. Noir.	AI Odyssey:A Global Journey	Alina Müller	mueller	
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_006_10.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Uluru in Australien. Integriere das futuristische Universum. Raumschiff. Noir.	AI Odyssey:A Global Journey	Alina Müller	mueller	
11  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/006/04_Szenen_Dess_Yannick_Wüste.jpg  Szenen  Eine fotorealistische, extrem weitwinkelige, herausgezoomte Aufnahme aus einem Film mit interessanter Komposition, alles gefüllt mit verschrotteten elektrischen Geräten, kastenförmigen Computern, Kabeln, Rohren, vollgestopfter Schrottplatz, Science-Fiction-Wüste, Unwirklich, dunkelbraun robust, gezackt, und felsige graue dystopische Wüstenlandschaft. Schrottplatz rostiges Metall schwarzbraunes Metall, Die Wüstenlandschaft ist voller Tausender und Abermillionen kleiner Computer-Metallkästen mit Tausenden von Kabeln darüber , Viele Details, im Himmel, Es entfaltet sich ein verschwommener, dichter, sonnenbeschienener, wolkiger, regnerischer Sonnenuntergang, Übergang von einem graublauen Farbton zu helleren Grautönen. dystopisches Wetter  Wüste  Yannick Dess  dess
