nummer	path	filter	prompt	titel	autor	projektuebersicht																									
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/00_Objekt_Badt_Hendrik_013_00.jpg	Objekte	Generate a captivating and surreal digital artwork blending the iconic monolith from Stanley Kubrick's '2001: A Space Odyssey' with the ethereal and organic structures of a jellyfish. Envelop this unique fusion within a photorealistic underwater scenery, capturing the mysterious and otherworldly essence of both elements seamlessly. The final image should evoke a sense of awe, wonder, and contemplation, merging the enigmatic qualities of space and the mesmerizing beauty of the deep sea."	Organic Monolith	Badt Hendrik Badt																										
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/00_Objekt_Badt_Hendrik_013_01.jpg	Objekte	Generate a captivating and surreal digital artwork blending the iconic monolith from Stanley Kubrick's '2001: A Space Odyssey' with the ethereal and organic structures of a jellyfish. Envelop this unique fusion within a photorealistic underwater scenery, capturing the mysterious and otherworldly essence of both elements seamlessly. The final image should evoke a sense of awe, wonder, and contemplation, merging the enigmatic qualities of space and the mesmerizing beauty of the deep sea."	Organic Monolith	Badt Hendrik Badt																										
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/00_Objekt_Badt_Hendrik_013_02.jpg	Objekte	Generate a captivating and surreal digital artwork blending the iconic monolith from Stanley Kubrick's '2001: A Space Odyssey' with the ethereal and organic structures of a jellyfish. Envelop this unique fusion within a photorealistic underwater scenery, capturing the mysterious and otherworldly essence of both elements seamlessly. The final image should evoke a sense of awe, wonder, and contemplation, merging the enigmatic qualities of space and the mesmerizing beauty of the deep sea."	Organic Monolith	Badt Hendrik Badt																										
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/00_Objekt_N%C3%B5ulik_Romy_013_01.jpg	Objekte	Detailed worn out monolith in a brutalistic, dystopian, and alien design, drawing inspiration from the style of &apos;Alien: Covenant.&apos; Concrete monolith with sharp, angular lines, and an unsettling, otherworldly aesthetic, making it feel both eerie and imposing. Make the sky glow red and give the enviornment more cold light. Show a lightsource on the monolith creating harsh shaddows. Make it look rugged and sharp.	Titel der Arbeit	Romy Noulik	noulik																														
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Giessmann_Alina/03_Adaption_Giessmann_Alina_Monolith_3.jpg	Adaption	landscape, monolith, Organic forms, Curved lines, Antoni Gaudi, organic architecture, Asymmetry, Natural forms, Whiplash curves, Aesthetic movement, organic rooms, Biomimicry,  out of Space, hexagonal structure, honeycomb	Monolith 3	Alina Giessmann	giessmann																									
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/01_Szenen_Knauer_Sarah_monolith_05.jpg	Szenen	Lorem ipsum dolor sit amet	Monolith	Sarah Knauer	knauer																									
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/00_Objekt_N%C3%B5ulik_Romy_00.jpg	Objekte	the thing in the center is made of colorful stained glass depicting abstract shapes and patterns. The light passes through the glass. In the background there is the desert	Titel	Romy Noulik	noulik																									
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/00_Objekte_Matzick_Monolith%20(4).jpg	Objekte	In the midst of the arid desert, a monolith stands tall, its surface adorned with a tapestry of greenery. The plants seem to have a life of their own, as they twist and turn around the monolith, creating a mesmerizing display of nature's beauty. This is a true oasis in the desert.	Monolith	Isabel Matzick	matzick																									
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/00_Objekte_Matzick_Monolith%20(3).jpg	Objekte	A towering monolith stands tall in the middle of a barren desert, its surface covered in a lush layer of overgrown plants and wildflowers. The contrast between the harsh landscape and the vibrant greenery creates a stunning visual.	Monolith	Isabel Matzick	matzick																									
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/00_Objekte_Matzick_Monolith%20(2).jpg	Objekte	Step into a world of contrasts as you witness the Monolith from 2001: A Space Odyssey, standing stoically in a desert oasis. The barren landscape is unexpectedly filled with vibrant plant life, creating a surreal and captivating scene.	Monolith	Isabel Matzick	matzick																									
