name	path	filter	prompt	titel	autor	projektuebersicht						
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/137/01_Szenen_Badt_Hendrik_137.jpg	Szenen	Generate a visually stunning scene that depicts a room filled with mesmerizing, jellyfish-inspired structures. Imagine these organic forms radiating bioluminescence, casting a soft, enchanting glow throughout the space. Within this captivating environment, place a solitary individual, experiencing the tranquil beauty and serenity of the jellyfish-like elements that surround them. Capture the harmony between the organic, glowing structures and the person in this surreal and immersive setting.	Organic Room	Badt Hendrik	badt						
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/137/01_Szenen_Reimers_Glaesernes_Schlafzimmer.jpg	Szenen	a small room with a bed in a futuristic spaceship. The walls, ceiling and floor are made of a transparent material that allows light to pass through. The walls are decorated with colorful stained glass depicting abstract shapes and patterns. The stained glass is reminiscent of the windows of a church	Gläsernes_Schlafzimmer	Merle Reimers	reimers						
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Wojciechowski_Daniel/00_Objekte_Wojciechowski_Cockpit-1_137.jpg	Objekte	analog style, "Reimagine the cinematic landscape of '2001: A Space Odyssey' in a surreal and detailed desert setting. Transform the iconic scenes, introducing weird and unconventional elements while preserving the vastness of the desert. The scene should be captured through the lens of a Hasselblad camera to evoke a timeless and nuanced aesthetic. Introduce peculiar rock formations and hills that defy the laws of gravity, creating an otherworldly and dreamlike atmosphere. Encourage the AI to experiment with unique lighting conditions, casting unusual shadows across the desert landscape. The goal is to generate a reimagination of '2001: A Space Odyssey' that is both visually striking and conceptually rich, introducing weird yet captivating details within the vastness of the desert, all captured through the lens of a Hasselblad camera."	Cockpit-1	Daniel Wojciechowski	wojciechowski						
53	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/137/53_Szenen_Jakob_Vasilega_Sarah_Dariia_137.png	Szenen	dim, soviet union atmosphere, a retro photo of a kubrick  film scene with old person  in a bathrobe eating  at a  table in a huge grey moscow metro grey  hall, monolith monoton floor, simple soviet dishes,  white tablecloth, minimalistic designed for Space Odyssey movie in Soviet brutalist style, huge hall,   soviet furniture,   1960s, USSR,  Minimalistic, Industrial, Utilitarian, modular, Monolithic, Stern, Foreboding, Dystopian, geometric, futuristic, Utilitarian, photorealistic, retro photo , Kubrick aesthetic, hyperrealism, modernism, Space odyssey, , monoton, ordinary	eating	Sarah Jakob Dariia Vasilega	jakobvasilega
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Wojciechowski_Daniel/01_Szenen_Wojciechowski_VastDesert-10-1_137.jpg	Szenen	analog style, "Reimagine the cinematic landscape of '2001: A Space Odyssey' in a surreal and detailed desert setting. Transform the iconic scenes, introducing weird and unconventional elements while preserving the vastness of the desert. The scene should be captured through the lens of a Hasselblad camera to evoke a timeless and nuanced aesthetic. Introduce peculiar rock formations and hills that defy the laws of gravity, creating an otherworldly and dreamlike atmosphere. Encourage the AI to experiment with unique lighting conditions, casting unusual shadows across the desert landscape. The goal is to generate a reimagination of '2001: A Space Odyssey' that is both visually striking and conceptually rich, introducing weird yet captivating details within the vastness of the desert, all captured through the lens of a Hasselblad camera."	VastDesert-10-1	Daniel Wojciechowski	wojciechowski						
08	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_089_137.jpg	Adaptionen	front view of an astronaut sitting on a cheap folding chair holding an empty fish tank on his lap. The background landscape is that of a deserted, dystopian tundra that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere. Something is reflecting in his helmet.	Die Suche nach Leben 1/6	Swaantje Meyer	meyer						
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_090_137.jpg	Adaptionen	front view of an astronaut sitting on a cheap folding chair holding an empty fish tank on his lap. The background landscape is that of a deserted, dystopian tundra that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere. Something is reflecting in his helmet.	Die Suche nach Leben 2/6	Swaantje Meyer	meyer						
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_091_137.jpg	Adaptionen	front view of an astronaut sitting on a cheap folding chair holding an empty fish tank on his lap. The background landscape is that of a deserted, dystopian tundra that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere. Something is reflecting in his helmet.	Die Suche nach Leben 3/6	Swaantje Meyer	meyer						
11	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_092_137.jpg	Adaptionen	front view of an astronaut sitting on a cheap folding chair holding an empty fish tank on his lap. The background landscape is that of a deserted, dystopian tundra that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere. Something is reflecting in his helmet.	Die Suche nach Leben 4/6	Swaantje Meyer	meyer						
12	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_093_137.jpg	Adaptionen	front view of an astronaut sitting on a cheap folding chair holding an empty fish tank on his lap. The background landscape is that of a deserted, dystopian tundra that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere. Something is reflecting in his helmet.	Die Suche nach Leben 5/6	Swaantje Meyer	meyer						
