name	path	filter	prompt	titel	autor	projektuebersicht	
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/24cb1eb6567d228de45eb66904304d3bb036c731/Timecodes/046/046_Objekte_N%C3%B5ulik_Romy.jpg	Objekte	prompt eingeben	Titel der Arbeit	Nõulik Romy	noulik			
03  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/18_Szenen_Eickelpasch_Lamella.jpg  Szenen  now generate a smaller vessel in wich astronaut can explore nearby planets  Lamella  Lisa Eickelpasch  eickelpasch
19	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/046/19_Szenen_Jakob_Vasilega_Sarah_Dariia_046.png	Szene	Interior view of a spaceship, expertly rendered in ultra-realism, inspired by the stylings of 2001: A Space Odyssey, directed by Stanley Kubrick, centering on the showcase of progressive modular design, reflecting unornamented Bauhaus aesthetic and brutalism architecture, ultra clear, ultra fine, 3D, highly detailed, cinematic, digital masterpiece	Interieur	Sarah Jakob Dariia Vasilega	soviet
12	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Nasr_Zina/01_Szene_Nasr_Zina_046.png	Szene	Transform the iconic scenes of "2001: A Space Odyssey" into the whimsical, tactile universe of Aardman Studio's claymation style. Use PlayDoh for nature, trees, landscapes. Embrace bright, dynamic colors for a playful atmosphere. Create a visual and tactile experience that transports the audience to a world of boundless imagination. For characters, maintain a minimalistic look, keeping facial features simple and expressive.	Landschaft 08	Zina Nasr	nasr
13	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/046/03_Adaptionen_Schmidt_Raumschiff_046.jpg	Adaption	A realistic and detailed image of a steampunk spaceship hovering over a desert landscape. The spaceship is round, and it is made of copper, brass, pipes, gears, valves, and leather. The spaceship is powered by a steam engine, and it is releasing steam from its exhaust pipes. The spaceship is lit up by a dim red glow from its portholes. The perspective is from above, looking down at the spaceship. The spaceship takes up the majority of the image, and it looms over the landscape. The landscape below the spaceship is a vast desert, and it is set in the early evening hours. The sky is a dark blue, and the sun is just starting to set. The landscape is dotted with large, organic rock formations. The horizon is hazy. The overall scene is dark, cool, and slightly misty. It has calm, mystical, and futuristic atmosphere.	Raumschiff über Landschaft	Lena Schmidt	schmidt
07  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/046/03_Adaptionen_Guth_Antonia_046.jpg  Adaptionen  Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, hairy, weird space ship  Stop Motion  Antonia Guth  guth
08  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/046/01_Adaption_Niemann_Victoria_046.jpg  Adaption  Incorporate Bauhaus principles into a set design for the spacecraft interior in '2001: A Space Odyssey.' Explore the use of steel, glass, and a harmonious color palette. Focus on abstract, geometric forms.  spaceship architecture  Victoria Niemann  niemann
09  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/046/02_Adaption_Niemann_Victoria_046.jpg  Adaption  Incorporate Bauhaus principles into a set design for the spacecraft interior in '2001: A Space Odyssey.' Explore the use of steel, glass, and a harmonious color palette. Focus on abstract, geometric forms.  spaceship architecture  Victoria Niemann  niemann
10  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/046/03_Adaption_Niemann_Victoria_046.jpg  Adaption  Incorporate Bauhaus principles into a set design for the spacecraft interior in '2001: A Space Odyssey.' Explore the use of steel, glass, and a harmonious color palette. Focus on abstract, geometric forms.  spaceship architecture  Victoria Niemann  niemann
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Rein_Jessica/00_Objekte_Rein_Jessica_046.jpg	Objekte	Make it like this ship looks like a flying piece of Pastry	Spacetries	Jessica Rein	rein
