name	path	filter	prompt	titel	autor	projektuebersicht							
01	\Datenbank\Videos\00_Objekte_Reimers_Glaeserne_Monolithe1und2.mp4	Objekte	the thing in the center is made of colorful stained glass depicting abstract shapes and patterns. The light passes through the glass. In the background there is the desert	Gläserne_Monolithe_1_und_2 (mp4)	Merle Reimers	reimers							
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/015/00_Objekte_Reimers_Glaeserner_Knochen1.jpg	Objekte	a bone made of colorful stained glass depicting abstract shapes and patterns.	Gläserner_Knochen_1	Merle Reimers	reimers							
03	\Datenbank\Videos\00_Objekte_Reimers_Glaeserne_Knochen2und3.mp4	Objekte	an ape made of colorful stained glass depicting abstract shapes and patterns. The light passes through the glass. / a leg bone made of colorful stained glass depicting abstract shapes and patterns. The light passes through the glass.	Gläserne_Knochen_2_und_3 (mp4)	Merle Reimers	reimers							
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/021/00_Objekte_Reimers_Glaesernes_Raumschiff1.jpg	Objekte	made of colorful stained glass depicting abstract shapes and patterns. The light passes through the glass.	Gläsernes_Raumschiff_1	Merle Reimers	reimers							
05	\Datenbank\Videos\00_Objekte_Reimers_Glaeserne_Raumschiffe2und3.mp4	Objekte	broken glass effect, stunning, mythical, beautiful, a spaceship that looks like a organic, modern church, beautiful, colorful glass	Gläserne_Raumschiffe_2_und_3 (mp4)	Merle Reimers	reimers	
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reimers_Merle/00_Objekte_Reimers_Glaeserner_Stuhl.jpg	Objekte	A digital rendering of a sculptural colorful glass chair set in a futuristic space. intricate glasswork, delicate and intricate design. Broken Glass effect, futuristic, stunning, something that even doesn't exist, energy, molecular, textures, iridescent and luminescent scales, breathtaking beauty, pure perfection, unforgettable, impressive, breathtaking beauty, Volumetric light, auras, rays, vivid colors reflects	Gläserner_Stuhl_1	Merle Reimers	reimers
07	\Datenbank\Videos\00_Objekte_Reimers_Glaeserne_Stuehle2und3.mp4	Objekte	The chair is made of a transparent material that allows light to pass through. decorated with colorful stained glass depicting abstract shapes and patterns. The stained glass is reminiscent of the windows of a church.	Gläserne_Stühle_2_und_3	Merle Reimers	reimers					
08	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/01_Szenen_Reimers_Glaeserner_Aufenthaltsraum1.jpg	Szenen	A large conference room in a futuristic building. The walls, ceiling and floor are made of a transparent material that allows light to pass through. The walls are decorated with colorful stained glass depicting abstract shapes and patterns. The stained glass is reminiscent of the windows of a church and bathes the room in a mystical light.	Gläserner_Aufenthaltsraum_1	Merle Reimers	reimers							
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/01_Szenen_Reimers_Glaeserner_Aufenthaltsraum2.jpg	Szenen	broken glass effect, stunning, mythical, beautiful, a spaceship that looks like a organic, modern church, beautiful, colorful glass	Gläserner_Aufenthaltsraum_2	Merle Reimers	reimers							
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/01_Szenen_Reimers_Glaeserner_Aufenthaltsraum3.jpg	Szenen	A large conference room in a futuristic building. The walls, ceiling and floor are made of a transparent material that allows light to pass through. The walls are decorated with colorful stained glass depicting abstract shapes and patterns. The stained glass is reminiscent of the windows of a church and bathes the room in a mystical light.	Gläserner_Aufenthaltsraum_3	Merle Reimers	reimers							
11	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/01_Szenen_Reimers_Glaeserner_Aufenthaltsraum4.jpg	Szenen	broken glass effect, stunning, mythical, beautiful, a spaceship interior that looks like a organic, modern church, looks like a conversation pit, beautiful, colorful glass, colorful	Gläserner_Aufenthaltsraum_4	Merle Reimers	reimers							
12	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/029/01_Szenen_Reimers_Glaesernes_Buero.jpg	Szenen	a small room with a computer monitor in a futuristic spaceship. The walls, ceiling and floor are made of a transparent material that allows light to pass through. The walls are decorated with colorful stained glass depicting abstract shapes and patterns. The stained glass is reminiscent of the windows of a church and bathes the room in a mystical light. Soft colors.	Gläsernes_Büro	Merle Reimers	reimers							
13	\Datenbank\Videos\01_Szenen_Reimers_Glaeserne_Konferenzraeume1und2.mp4	Szenen	A large conference room in a futuristic spaceship. The walls, ceiling and floor are made of a transparent material that allows light to pass through. The walls are decorated with colorful stained glass depicting abstract shapes and patterns. The stained glass is reminiscent of the windows of a church and bathes the room in a mystical light.	Gläserne_Konferenzräume_1_und_2 (mp4)	Merle Reimers	reimers							
14	\Datenbank\Videos\00_Objekte_Reimers_Glaeserne_Monolithe1und2.mp4	Objekte	made of colorful stained glass depicting abstract shapes and patterns. The light passes through the glass. It flies in the universe	Gläserne_Raumschiffe_4_und_5 (mp4)	Merle Reimers	reimers							
15	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/062/00_Objekte_Reimers_Glaeserner_Hal.jpg	Objekte	made of colorful stained glass depicting abstract shapes and patterns. The light passes through the glass. The colors are blue and green	Gläserner_HAL	Merle Reimers	reimers							
16	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/066/01_Szenen_Reimers_Glaeserner_Entspannungsraum.jpg	Szenen	a small room in a futuristic spaceship. The walls, ceiling and floor are made of a transparent material that allows light to pass through. The walls are decorated with colorful stained glass depicting abstract shapes and patterns. The stained glass is reminiscent of the windows of a church and bathes the room in a mystical light.	Gläserner_Entspannungsraum	Merle Reimers	reimers							
17	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/072/00_Objekte_Reimers_Glaeserner_Astronautenanzug1.jpg	Objekte	a whole astronaut suit from head to toe made of colorful stained glass depicting abstract shapes and patterns. The light passes through the glass.	Gläserner_Astronautenanzug_1	Merle Reimers	reimers							
