nummer	path	filter	prompt	titel	autor	projektuebersicht							
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ludwig_Sarah/00_Objekt_Ludwig_Sarah_020.jpg	Objekte	a modern futuristic spacecraft designed by Ross Lovegrove with intricate organic bionic biomorphic features structures and details floating in dark space, otherworldly looking, ethereal, Dynamic Composition, gloomy atmosphere, cinematic, typical science fiction color palette, wide angle shot	Spaceshuttle	Sarah Ludwig	ludwig							
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/020/03_Adaptionen_Schmidt_Satellit_020.jpg	Adaption	Realistic image, flying bone in a steampunk style, bone is made of white bone, covered in pipes, plates, valves and belts made of copper and brass, connected to each other, flying through a bright sky.	Satellit	Lena Schmidt	schmidt							
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/020/09_Szenen_Nguyen_020.png	Szenen	red hue, outer space, bone shaped spaceship flying through space, captured in analog style, minimalism, cinematic composition	Stop-Motion	rote Textilien	Tuan Nguyen	nguyen							
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_020_01.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ im Great Barrier Reef in Australien. Integriere das futuristische Universum. Raumschiff. Noir.	AI Odyssey:A Global Journey Alina Müller	mueller								
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_020_02.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ im Great Barrier Reef in Australien. Integriere das futuristische Universum. Raumschiff. Noir.	AI Odyssey:A Global Journey  Alina Müller	mueller								
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_020_03.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ im Great Barrier Reef in Australien. Integriere das futuristische Universum. Raumschiff. Noir.	AI Odyssey:A Global Journey	Alina Müller	mueller							
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_020_04.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ im Great Barrier Reef in Australien. Integriere das futuristische Universum. Raumschiff. Noir.	AI Odyssey:A Global Journey	Alina Müller	mueller							
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_020_05.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ im Great Barrier Reef in Australien. Integriere das futuristische Universum. Raumschiff. Noir.	AI Odyssey:A Global Journey	Alina Müller mueller								
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_020_06.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ im Great Barrier Reef in Australien. Integriere das futuristische Universum. Raumschiff. Noir.	AI Odyssey:A Global Journey	Alina Müller	mueller							
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_020_07.jpg 	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ im Great Barrier Reef in Australien. Integriere das futuristische Universum. Raumschiff. Noir.	AI Odyssey:A Global Journey	Alina Müller	mueller							
08	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_020_08.jpg 	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ im Great Barrier Reef in Australien. Integriere das futuristische Universum. Raumschiff. Noir.  AI Odyssey:A Global Journey  Alina Müller  mueller										
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_020_09.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ im Great Barrier Reef in Australien. Integriere das futuristische Universum. Raumschiff. Noir.  AI Odyssey:A Global Journey  Alina Müller  mueller										
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_020_10.jpg	Szenen	Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ im Great Barrier Reef in Australien. Integriere das futuristische Universum. Raumschiff. Noir.  AI Odyssey:A Global Journey  Alina Müller  mueller										
04	\Datenbank\Videos\03_Adaption_Kroeger_Alexandra_020.mp4	Adaption	create an abstract yet spatial representation using only the colors orange, gray, and dark brown	Blue Danube Waltz	Alexandra Kroeger  								
16	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/01_Szene_Roessler_Tamm_020.jpg	Szenen	A huge planet, in translucent plastic bubble, plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, displays, A24, Arri Alexa, Helios 44-2	Planet	Lukas Rössler, Benjamin Tamm	roessler							
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/020/03_Adaption_Giessmann_Alina_Bone1_kom.jpg	Adaption	bone, Organic forms, Curved lines, honeycomb, organic architecture, Asymmetry, Natural forms, Whiplash curves, Aesthetic movement, organic rooms, Biomimicry,  out of Space, dynamic lighting, ultra high definition, reflections, sharp focus, intense shadows, detailed and intricate environment, intricate	Knochen	Alina Giessmann	giessmann							
